window_s,fast_recovery_5s_V,initial_slope_0_5_V_per_s,log_time_slope_5_30_V_per_log_s,relaxation_area_Vs,label,delta_q_ah,protocol
5,0.01188023488746559,0.0023596070665300177,,0.03157039029940824,altered_1C_30min_storage_loss_0.000Ah,0.0,altered_1C_30min
10,0.011880234887466035,0.0023596070665300177,,0.11381836872365408,altered_1C_30min_storage_loss_0.000Ah,0.0,altered_1C_30min
30,0.011880234887466035,0.0023596070665300177,0.019849446886275886,0.7750180945633319,altered_1C_30min_storage_loss_0.000Ah,0.0,altered_1C_30min
60,0.011880234887466035,0.0023596070665300177,0.019849446886275886,2.380765559251355,altered_1C_30min_storage_loss_0.000Ah,0.0,altered_1C_30min
120,0.011880234887466035,0.0023596070665300177,0.019849446886275886,6.7266120298346,altered_1C_30min_storage_loss_0.000Ah,0.0,altered_1C_30min
5,0.011936239981050978,0.0023704558733657383,,0.0317271918192258,altered_1C_30min_storage_loss_0.025Ah,0.025,altered_1C_30min
10,0.011936239981051422,0.0023704558733657383,,0.11435325512769154,altered_1C_30min_storage_loss_0.025Ah,0.025,altered_1C_30min
30,0.011936239981051422,0.0023704558733657383,0.01996954282900051,0.7789281272411108,altered_1C_30min_storage_loss_0.025Ah,0.025,altered_1C_30min
60,0.011936239981051422,0.0023704558733657383,0.01996954282900051,2.3962927955274744,altered_1C_30min_storage_loss_0.025Ah,0.025,altered_1C_30min
120,0.011936239981051422,0.0023704558733657383,0.01996954282900051,6.783068803248753,altered_1C_30min_storage_loss_0.025Ah,0.025,altered_1C_30min
5,0.01199729594351906,0.0023822724046196697,,0.03190004341440885,altered_1C_30min_storage_loss_0.050Ah,0.05,altered_1C_30min
10,0.011997295943519504,0.0023822724046196697,,0.11493356919391731,altered_1C_30min_storage_loss_0.050Ah,0.05,altered_1C_30min
30,0.011997295943519504,0.0023822724046196697,0.020090330511668027,0.7830186233832357,altered_1C_30min_storage_loss_0.050Ah,0.05,altered_1C_30min
60,0.011997295943519504,0.0023822724046196697,0.020090330511668027,2.4123340962409023,altered_1C_30min_storage_loss_0.050Ah,0.05,altered_1C_30min
